pais,data,total_casos,novos_casos,novos_casos_padronizados,total_mortes,novas_mortes,novas_mortes_padronizadas,novos_casos_pmilhao,novas_mortes_pmilhao,total_vacinacao,pessoas_vacinadas,pessoas_totalmente_vacinadas,novas_vacinas_aplicadas,novas_vacinas_padronizadas,novas_pessoas_vacinadas_padr
Brazil,2020-10-28,5473540.0,28351.0,24135.286,158556.0,504.0,431.429,132.485,2.355,,,,,,
Brazil,2020-10-27,5445189.0,29982.0,23778.857,158052.0,526.0,441.0,140.107,2.458,,,,,,
Brazil,2020-10-26,5415207.0,18611.0,22890.857,157526.0,302.0,458.429,86.97,1.411,,,,,,
Brazil,2020-10-25,5396596.0,12254.0,22600.571,157224.0,233.0,461.857,57.263,1.089,,,,,,
Brazil,2020-10-24,5384342.0,24984.0,22571.571,156991.0,387.0,462.143,116.751,1.808,,,,,,
Brazil,2020-10-23,5359358.0,30001.0,21970.429,156604.0,563.0,466.143,140.196,2.631,,,,,,
Brazil,2020-10-22,5329357.0,24764.0,21769.714,156041.0,505.0,477.571,115.723,2.36,,,,,,
Brazil,2020-10-21,5304593.0,25856.0,22578.571,155536.0,571.0,521.714,120.826,2.668,,,,,,
Brazil,2020-10-20,5278737.0,23766.0,22862.571,154965.0,648.0,544.714,111.059,3.028,,,,,,
Brazil,2020-10-19,5254971.0,16579.0,21375.857,154317.0,326.0,506.143,77.474,1.523,,,,,,
Brazil,2020-10-18,5238392.0,12051.0,20241.143,153991.0,235.0,487.286,56.315,1.098,,,,,,
Brazil,2020-10-17,5226341.0,20776.0,20261.143,153756.0,415.0,493.429,97.087,1.939,,,,,,
Brazil,2020-10-16,5205565.0,28596.0,20685.143,153341.0,643.0,510.429,133.63,3.005,,,,,,
Brazil,2020-10-15,5176969.0,30426.0,20561.857,152698.0,814.0,512.0,142.182,3.804,,,,,,
Brazil,2020-10-14,5146543.0,27844.0,20048.143,151884.0,732.0,500.714,130.116,3.421,,,,,,
Brazil,2020-10-13,5118699.0,13359.0,20490.143,151152.0,378.0,499.714,62.427,1.766,,,,,,
Brazil,2020-10-12,5105340.0,8636.0,23085.429,150774.0,194.0,561.429,40.356,0.907,,,,,,
Brazil,2020-10-11,5096704.0,12191.0,25573.571,150580.0,278.0,589.857,56.969,1.299,,,,,,
Brazil,2020-10-10,5084513.0,23744.0,25077.0,150302.0,534.0,601.286,110.957,2.495,,,,,,
Brazil,2020-10-09,5060769.0,27733.0,24971.857,149768.0,654.0,609.0,129.597,3.056,,,,,,
Brazil,2020-10-08,5033036.0,26830.0,25698.286,149114.0,735.0,609.0,125.378,3.435,,,,,,
Brazil,2020-10-07,5006206.0,30938.0,26977.286,148379.0,725.0,614.429,144.575,3.388,,,,,,
Brazil,2020-10-06,4975268.0,31526.0,27257.714,147654.0,810.0,651.143,147.322,3.785,,,,,,
Brazil,2020-10-05,4943742.0,26053.0,27446.571,146844.0,393.0,658.0,121.747,1.837,,,,,,
Brazil,2020-10-04,4917689.0,8715.0,26134.857,146451.0,358.0,657.714,40.726,1.673,,,,,,
Brazil,2020-10-03,4908974.0,23008.0,26859.429,146093.0,588.0,655.0,107.517,2.748,,,,,,
Brazil,2020-10-02,4885966.0,32818.0,27103.714,145505.0,654.0,674.143,153.36,3.056,,,,,,
Brazil,2020-10-01,4853148.0,35783.0,27031.143,144851.0,773.0,698.143,167.215,3.612,,,,,,
Brazil,2020-09-30,4817365.0,32901.0,26492.857,144078.0,982.0,701.286,153.748,4.589,,,,,,
Brazil,2020-09-29,4784464.0,32848.0,26467.857,143096.0,858.0,694.143,153.5,4.009,,,,,,
Brazil,2020-09-28,4751616.0,16871.0,26770.571,142238.0,391.0,685.0,78.839,1.827,,,,,,
Brazil,2020-09-27,4734745.0,13787.0,26879.714,141847.0,339.0,695.714,64.427,1.584,,,,,,
Brazil,2020-09-26,4720958.0,24718.0,27116.143,141508.0,722.0,697.429,115.508,3.374,,,,,,
Brazil,2020-09-25,4696240.0,32310.0,27807.571,140786.0,822.0,691.571,150.986,3.841,,,,,,
Brazil,2020-09-24,4663930.0,32015.0,28867.714,139964.0,795.0,692.429,149.607,3.715,,,,,,
Brazil,2020-09-23,4631915.0,32726.0,29494.857,139169.0,932.0,703.0,152.93,4.355,,,,,,
Brazil,2020-09-22,4599189.0,34967.0,30147.857,138237.0,794.0,707.286,163.402,3.71,,,,,,
Brazil,2020-09-21,4564222.0,17635.0,30088.571,137443.0,466.0,748.429,82.409,2.178,,,,,,
Brazil,2020-09-20,4546587.0,15442.0,30513.714,136977.0,351.0,747.286,72.161,1.64,,,,,,
Brazil,2020-09-19,4531145.0,29558.0,30310.571,136626.0,681.0,755.0,138.126,3.182,,,,,,
Brazil,2020-09-18,4501587.0,39731.0,30488.0,135945.0,828.0,767.286,185.665,3.869,,,,,,
Brazil,2020-09-17,4461856.0,36405.0,30745.429,135117.0,869.0,770.143,170.122,4.061,,,,,,
Brazil,2020-09-16,4425451.0,37297.0,31367.714,134248.0,962.0,785.143,174.29,4.495,,,,,,
Brazil,2020-09-15,4388154.0,34552.0,31337.714,133286.0,1082.0,813.0,161.463,5.056,,,,,,
Brazil,2020-09-14,4353602.0,20611.0,29085.429,132204.0,458.0,733.429,96.316,2.14,,,,,,
Brazil,2020-09-13,4332991.0,14020.0,27500.429,131746.0,405.0,713.714,65.516,1.893,,,,,,
Brazil,2020-09-12,4318971.0,30800.0,27593.571,131341.0,767.0,721.286,143.93,3.584,,,,,,
Brazil,2020-09-11,4288171.0,41533.0,28030.286,130574.0,848.0,698.0,194.085,3.963,,,,,,
Brazil,2020-09-10,4246638.0,40761.0,27745.429,129726.0,974.0,698.143,190.478,4.552,,,,,,
Brazil,2020-09-09,4205877.0,37087.0,28609.429,128752.0,1157.0,682.857,173.309,5.407,,,,,,
Brazil,2020-09-08,4168790.0,18786.0,29947.429,127595.0,525.0,689.571,87.788,2.453,,,,,,
Brazil,2020-09-07,4150004.0,9516.0,33596.429,127070.0,320.0,778.857,44.469,1.495,,,,,,
Brazil,2020-09-06,4140488.0,14672.0,39412.0,126750.0,458.0,825.571,68.563,2.14,,,,,,
Brazil,2020-09-05,4125816.0,33857.0,39392.286,126292.0,604.0,817.429,158.215,2.823,,,,,,
Brazil,2020-09-04,4091959.0,39539.0,39882.857,125688.0,849.0,859.286,184.767,3.967,,,,,,
Brazil,2020-09-03,4052420.0,46809.0,40532.714,124839.0,867.0,859.286,218.74,4.052,,,,,,
Brazil,2020-09-02,4005611.0,46453.0,39882.857,123972.0,1204.0,876.143,217.077,5.626,,,,,,
Brazil,2020-09-01,3959158.0,44329.0,40125.571,122768.0,1150.0,858.286,207.151,5.374,,,,,,
Brazil,2020-08-31,3914829.0,50225.0,40408.143,121618.0,647.0,865.857,234.703,3.023,,,,,,
Brazil,2020-08-30,3864604.0,14534.0,36592.143,120971.0,401.0,876.714,67.918,1.874,,,,,,
Brazil,2020-08-29,3850070.0,37291.0,37640.571,120570.0,897.0,884.429,174.262,4.192,,,,,,
Brazil,2020-08-28,3812779.0,44088.0,38871.571,119673.0,849.0,874.571,206.025,3.967,,,,,,
Brazil,2020-08-27,3768691.0,42260.0,37191.286,118824.0,985.0,903.429,197.483,4.603,,,,,,
Brazil,2020-08-26,3726431.0,48152.0,37293.286,117839.0,1079.0,939.429,225.016,5.042,,,,,,
Brazil,2020-08-25,3678279.0,46307.0,37357.714,116760.0,1203.0,951.429,216.394,5.622,,,,,,
Brazil,2020-08-24,3631972.0,23513.0,37780.143,115557.0,723.0,972.714,109.877,3.379,,,,,,
Brazil,2020-08-23,3608459.0,21873.0,37906.429,114834.0,455.0,983.143,102.213,2.126,,,,,,
Brazil,2020-08-22,3586586.0,45908.0,38068.286,114379.0,828.0,1002.0,214.53,3.869,,,,,,
Brazil,2020-08-21,3540678.0,32326.0,36778.714,113551.0,1051.0,987.0,151.061,4.911,,,,,,
Brazil,2020-08-20,3508352.0,42974.0,39218.857,112500.0,1237.0,980.714,200.819,5.781,,,,,,
Brazil,2020-08-19,3465378.0,48603.0,41753.0,111263.0,1163.0,981.429,227.124,5.435,,,,,,
Brazil,2020-08-18,3416775.0,49264.0,42660.286,110100.0,1352.0,984.429,230.213,6.318,,,,,,
Brazil,2020-08-17,3367511.0,24397.0,42839.714,108748.0,796.0,961.857,114.008,3.72,,,,,,
Brazil,2020-08-16,3343114.0,23006.0,43141.0,107952.0,587.0,960.857,107.508,2.743,,,,,,
Brazil,2020-08-15,3320108.0,36881.0,43101.571,107365.0,723.0,958.286,172.346,3.379,,,,,,
Brazil,2020-08-14,3283227.0,49407.0,44459.857,106642.0,1007.0,973.143,230.881,4.706,,,,,,
Brazil,2020-08-13,3233820.0,60713.0,44459.286,105635.0,1242.0,984.286,283.714,5.804,,,,,,
Brazil,2020-08-12,3173107.0,54954.0,43498.714,104393.0,1184.0,982.0,256.802,5.533,,,,,,
Brazil,2020-08-11,3118153.0,50520.0,43672.286,103209.0,1194.0,1008.0,236.082,5.58,,,,,,
Brazil,2020-08-10,3067633.0,26506.0,44495.571,102015.0,789.0,1031.429,123.864,3.687,,,,,,
Brazil,2020-08-09,3041127.0,22730.0,43581.286,101226.0,569.0,1004.714,106.218,2.659,,,,,,
Brazil,2020-08-08,3018397.0,46389.0,43772.143,100657.0,827.0,998.286,216.778,3.865,,,,,,
Brazil,2020-08-07,2972008.0,49403.0,43079.571,99830.0,1085.0,1014.571,230.862,5.07,,,,,,
Brazil,2020-08-06,2922605.0,53989.0,43631.143,98745.0,1226.0,1040.571,252.293,5.729,,,,,,
Brazil,2020-08-05,2868616.0,56169.0,44212.0,97519.0,1366.0,1037.143,262.48,6.383,,,,,,
Brazil,2020-08-04,2812447.0,56283.0,44109.429,96153.0,1358.0,1013.286,263.013,6.346,,,,,,
Brazil,2020-08-03,2756164.0,20106.0,43783.857,94795.0,602.0,999.0,93.956,2.813,,,,,,
Brazil,2020-08-02,2736058.0,24066.0,44913.143,94193.0,524.0,1010.857,112.461,2.449,,,,,,
Brazil,2020-08-01,2711992.0,41541.0,44714.143,93669.0,941.0,1019.0,194.123,4.397,,,,,,
Brazil,2020-07-31,2670451.0,53264.0,45570.429,92728.0,1267.0,1041.571,248.905,5.921,,,,,,
Brazil,2020-07-30,2617187.0,58055.0,46090.286,91461.0,1202.0,1027.0,271.293,5.617,,,,,,
Brazil,2020-07-29,2559132.0,55451.0,45986.143,90259.0,1199.0,1042.857,259.125,5.603,,,,,,
Brazil,2020-07-28,2503681.0,54004.0,47514.571,89060.0,1258.0,1056.714,252.363,5.879,,,,,,
Brazil,2020-07-27,2449677.0,28011.0,46503.571,87802.0,685.0,1065.143,130.897,3.201,,,,,,
Brazil,2020-07-26,2421666.0,22673.0,45752.429,87117.0,581.0,1077.0,105.952,2.715,,,,,,
Brazil,2020-07-25,2398993.0,47535.0,45858.0,86536.0,1099.0,1095.143,222.133,5.136,,,,,,
Brazil,2020-07-24,2351458.0,56903.0,42746.286,85437.0,1165.0,1058.714,265.91,5.444,,,,,,
Brazil,2020-07-23,2294555.0,57326.0,39562.714,84272.0,1313.0,1052.714,267.887,6.136,,,,,,
Brazil,2020-07-22,2237229.0,66150.0,37613.714,82959.0,1296.0,1050.714,309.122,6.056,,,,,,
Brazil,2020-07-21,2171079.0,46927.0,33898.286,81663.0,1317.0,1048.429,219.292,6.154,,,,,,
Brazil,2020-07-20,2124152.0,22753.0,33326.143,80346.0,768.0,1045.143,106.326,3.589,,,,,,
Brazil,2020-07-19,2101399.0,23412.0,33346.143,79578.0,708.0,1054.714,109.405,3.309,,,,,,
Brazil,2020-07-18,2077987.0,25753.0,33381.286,78870.0,844.0,1041.714,120.345,3.944,,,,,,
Brazil,2020-07-17,2052234.0,34618.0,34694.714,78026.0,1123.0,1054.286,161.771,5.248,,,,,,
Brazil,2020-07-16,2017616.0,43683.0,36079.429,76903.0,1299.0,1079.286,204.132,6.07,,,,,,
Brazil,2020-07-15,1973933.0,40142.0,35976.429,75604.0,1280.0,1068.286,187.585,5.981,,,,,,
Brazil,2020-07-14,1933791.0,42922.0,36706.143,74324.0,1294.0,1053.0,200.576,6.047,,,,,,
Brazil,2020-07-13,1890869.0,22893.0,37245.714,73030.0,835.0,1053.857,106.98,3.902,,,,,,
Brazil,2020-07-12,1867976.0,23658.0,37468.714,72195.0,617.0,1032.429,110.555,2.883,,,,,,
Brazil,2020-07-11,1844318.0,34947.0,37688.0,71578.0,932.0,1024.0,163.309,4.355,,,,,,
Brazil,2020-07-10,1809371.0,44311.0,37490.857,70646.0,1298.0,1042.286,207.067,6.066,,,,,,
Brazil,2020-07-09,1765060.0,42962.0,37309.286,69348.0,1222.0,1030.143,200.763,5.71,,,,,,
Brazil,2020-07-08,1722098.0,45250.0,37514.857,68126.0,1173.0,1035.429,211.455,5.481,,,,,,
Brazil,2020-07-07,1676848.0,46699.0,37739.857,66953.0,1300.0,1023.0,218.226,6.075,,,,,,
Brazil,2020-07-06,1630149.0,24454.0,36737.143,65653.0,685.0,1025.429,114.275,3.201,,,,,,
Brazil,2020-07-05,1605695.0,25193.0,36322.286,64968.0,558.0,1030.714,117.728,2.608,,,,,,
Brazil,2020-07-04,1580502.0,33567.0,37420.857,64410.0,1060.0,1035.857,156.86,4.953,,,,,,
Brazil,2020-07-03,1546935.0,43040.0,37899.857,63350.0,1213.0,1031.714,201.128,5.668,,,,,,
Brazil,2020-07-02,1503895.0,44401.0,38163.286,62137.0,1259.0,1000.286,207.488,5.883,,,,,,
Brazil,2020-07-01,1459494.0,46825.0,37743.714,60878.0,1086.0,989.0,218.815,5.075,,,,,,
Brazil,2020-06-30,1412669.0,39680.0,36916.286,59792.0,1317.0,991.571,185.426,6.154,,,,,,
Brazil,2020-06-29,1372989.0,21550.0,36894.429,58475.0,722.0,1004.286,100.704,3.374,,,,,,
Brazil,2020-06-28,1351439.0,32883.0,37843.286,57753.0,594.0,1010.0,153.664,2.776,,,,,,
Brazil,2020-06-27,1318556.0,36920.0,30317.714,57159.0,1031.0,1008.429,172.529,4.818,,,,,,
Brazil,2020-06-26,1281636.0,44884.0,34118.143,56128.0,993.0,1001.429,209.745,4.64,,,,,,
Brazil,2020-06-25,1236752.0,41464.0,35714.571,55135.0,1180.0,1027.0,193.763,5.514,,,,,,
Brazil,2020-06-24,1195288.0,41033.0,33436.857,53955.0,1104.0,1035.429,191.749,5.159,,,,,,
Brazil,2020-06-23,1154255.0,39527.0,31992.857,52851.0,1406.0,1047.0,184.711,6.57,,,,,,
Brazil,2020-06-22,1114728.0,28192.0,31629.429,51445.0,762.0,1036.429,131.742,3.561,,,,,,
Brazil,2020-06-21,1086536.0,-19796.0,31118.714,50683.0,583.0,1036.714,-92.508,2.724,,,,,,
Brazil,2020-06-20,1106332.0,63523.0,36345.857,50100.0,982.0,1044.0,296.846,4.589,,,,,,
Brazil,2020-06-19,1042809.0,56059.0,30304.0,49118.0,1172.0,1026.143,261.966,5.477,,,,,,
Brazil,2020-06-18,986750.0,25520.0,25764.429,47946.0,1239.0,979.143,119.256,5.79,,,,,,
Brazil,2020-06-17,961230.0,30925.0,26217.571,46707.0,1185.0,983.286,144.514,5.538,,,,,,
Brazil,2020-06-16,930305.0,36983.0,26626.857,45522.0,1332.0,990.857,172.823,6.224,,,,,,
Brazil,2020-06-15,893322.0,24617.0,25871.857,44190.0,764.0,971.0,115.036,3.57,,,,,,
Brazil,2020-06-14,868705.0,16794.0,24832.0,43426.0,634.0,985.143,78.479,2.963,,,,,,
Brazil,2020-06-13,851911.0,21230.0,25002.571,42792.0,857.0,962.571,99.209,4.005,,,,,,
Brazil,2020-06-12,830681.0,24282.0,25368.286,41935.0,843.0,954.571,113.471,3.939,,,,,,
Brazil,2020-06-11,806399.0,28692.0,26485.286,41092.0,1268.0,987.857,134.079,5.925,,,,,,
Brazil,2020-06-10,777707.0,33790.0,26951.286,39824.0,1238.0,1022.429,157.902,5.785,,,,,,
Brazil,2020-06-09,743917.0,31698.0,25850.571,38586.0,1193.0,1016.143,148.126,5.575,,,,,,
Brazil,2020-06-08,712219.0,17338.0,25847.571,37393.0,863.0,1040.714,81.021,4.033,,,,,,
Brazil,2020-06-07,694881.0,17988.0,25534.857,36530.0,476.0,1023.286,84.059,2.224,,,,,,
Brazil,2020-06-06,676893.0,23790.0,24854.143,36054.0,801.0,1022.571,111.172,3.743,,,,,,
Brazil,2020-06-05,653103.0,32101.0,26072.857,35253.0,1076.0,1031.571,150.009,5.028,,,,,,
Brazil,2020-06-04,621002.0,31954.0,25328.429,34177.0,1510.0,1040.286,149.322,7.056,,,,,,
Brazil,2020-06-03,589048.0,26085.0,24811.714,32667.0,1194.0,994.571,121.896,5.58,,,,,,
Brazil,2020-06-02,562963.0,31677.0,23970.857,31473.0,1365.0,975.571,148.028,6.379,,,,,,
Brazil,2020-06-01,531286.0,15149.0,21778.0,30108.0,741.0,931.143,70.792,3.463,,,,,,
Brazil,2020-05-31,516137.0,13223.0,21443.429,29367.0,471.0,929.143,61.792,2.201,,,,,,
Brazil,2020-05-30,502914.0,32321.0,21621.286,28896.0,864.0,955.857,151.037,4.038,,,,,,
Brazil,2020-05-29,470593.0,26890.0,19432.143,28032.0,1137.0,981.857,125.658,5.313,,,,,,
Brazil,2020-05-28,443703.0,28337.0,18706.0,26895.0,1190.0,966.714,132.42,5.561,,,,,,
Brazil,2020-05-27,415366.0,20199.0,17248.857,25705.0,1061.0,949.429,94.391,4.958,,,,,,
Brazil,2020-05-26,395167.0,16327.0,17611.714,24644.0,1054.0,951.571,76.297,4.925,,,,,,
Brazil,2020-05-25,378840.0,12807.0,17638.857,23590.0,727.0,962.429,59.848,3.397,,,,,,
Brazil,2020-05-24,366033.0,14468.0,17850.429,22863.0,658.0,963.571,67.61,3.075,,,,,,
Brazil,2020-05-23,351565.0,16997.0,16864.857,22205.0,1046.0,934.714,79.428,4.888,,,,,,
Brazil,2020-05-22,334568.0,21807.0,16325.286,21159.0,1031.0,885.286,101.905,4.818,,,,,,
Brazil,2020-05-21,312761.0,18137.0,15656.571,20128.0,1069.0,875.571,84.755,4.995,,,,,,
Brazil,2020-05-20,294624.0,22739.0,14926.714,19059.0,1076.0,831.286,106.26,5.028,,,,,,
Brazil,2020-05-19,271885.0,16517.0,13381.571,17983.0,1130.0,788.857,77.185,5.281,,,,,,
Brazil,2020-05-18,255368.0,14288.0,12253.429,16853.0,735.0,742.857,66.768,3.435,,,,,,
Brazil,2020-05-17,241080.0,7569.0,11197.286,16118.0,456.0,713.571,35.37,2.131,,,,,,
Brazil,2020-05-16,233511.0,13220.0,11064.286,15662.0,700.0,715.143,61.778,3.271,,,,,,
Brazil,2020-05-15,220291.0,17126.0,10485.286,14962.0,963.0,706.429,80.03,4.5,,,,,,
Brazil,2020-05-14,203165.0,13028.0,9627.429,13999.0,759.0,687.0,60.88,3.547,,,,,,
Brazil,2020-05-13,190137.0,11923.0,9075.143,13240.0,779.0,664.571,55.717,3.64,,,,,,
Brazil,2020-05-12,178214.0,8620.0,8965.571,12461.0,808.0,646.143,40.282,3.776,,,,,,
Brazil,2020-05-11,169594.0,6895.0,8710.571,11653.0,530.0,612.286,32.221,2.477,,,,,,
Brazil,2020-05-10,162699.0,6638.0,8696.143,11123.0,467.0,581.714,31.02,2.182,,,,,,
Brazil,2020-05-09,156061.0,9167.0,8423.0,10656.0,639.0,556.429,42.838,2.986,,,,,,
Brazil,2020-05-08,146894.0,11121.0,7813.143,10017.0,827.0,515.0,51.969,3.865,,,,,,
Brazil,2020-05-07,135773.0,9162.0,6940.857,9190.0,602.0,454.857,42.814,2.813,,,,,,
Brazil,2020-05-06,126611.0,11156.0,6703.714,8588.0,650.0,439.286,52.132,3.037,,,,,,
Brazil,2020-05-05,115455.0,6835.0,6031.429,7938.0,571.0,407.857,31.94,2.668,,,,,,
Brazil,2020-05-04,108620.0,6794.0,5882.0,7367.0,316.0,394.857,31.749,1.477,,,,,,
Brazil,2020-05-03,101826.0,4726.0,5532.286,7051.0,290.0,395.0,22.085,1.355,,,,,,
Brazil,2020-05-02,97100.0,4898.0,5396.571,6761.0,349.0,386.286,22.889,1.631,,,,,,
Brazil,2020-05-01,92202.0,5015.0,5451.286,6412.0,406.0,386.857,23.435,1.897,,,,,,
Brazil,2020-04-30,87187.0,7502.0,5307.286,6006.0,493.0,382.143,35.057,2.304,,,,,,
Brazil,2020-04-29,79685.0,6450.0,4846.857,5513.0,430.0,372.429,30.141,2.009,,,,,,
Brazil,2020-04-28,73235.0,5789.0,4308.0,5083.0,480.0,334.571,27.052,2.243,,,,,,
Brazil,2020-04-27,67446.0,4346.0,3814.714,4603.0,317.0,288.0,20.309,1.481,,,,,,
Brazil,2020-04-26,63100.0,3776.0,3492.286,4286.0,229.0,260.571,17.645,1.07,,,,,,
Brazil,2020-04-25,59324.0,5281.0,3238.0,4057.0,353.0,243.286,24.678,1.65,,,,,,
Brazil,2020-04-24,54043.0,4007.0,2908.714,3704.0,373.0,223.286,18.725,1.743,,,,,,
Brazil,2020-04-23,50036.0,4279.0,2801.571,3331.0,425.0,201.0,19.996,1.986,,,,,,
Brazil,2020-04-22,45757.0,2678.0,2491.0,2906.0,165.0,167.143,12.514,0.771,,,,,,
Brazil,2020-04-21,43079.0,2336.0,2545.286,2741.0,154.0,172.714,10.916,0.72,,,,,,
Brazil,2020-04-20,40743.0,2089.0,2473.286,2587.0,125.0,179.857,9.762,0.584,,,,,,
Brazil,2020-04-19,38654.0,1996.0,2351.714,2462.0,108.0,177.0,9.327,0.505,,,,,,
Brazil,2020-04-18,36658.0,2976.0,2275.857,2354.0,213.0,175.714,13.907,0.995,,,,,,
Brazil,2020-04-17,33682.0,3257.0,2006.286,2141.0,217.0,154.857,15.22,1.014,,,,,,
Brazil,2020-04-16,30425.0,2105.0,1761.857,1924.0,188.0,139.143,9.837,0.879,,,,,,
Brazil,2020-04-15,28320.0,3058.0,1735.714,1736.0,204.0,131.0,14.29,0.953,,,,,,
Brazil,2020-04-14,25262.0,1832.0,1604.0,1532.0,204.0,120.857,8.561,0.953,,,,,,
Brazil,2020-04-13,23430.0,1238.0,1609.857,1328.0,105.0,109.143,5.785,0.491,,,,,,
Brazil,2020-04-12,22192.0,1465.0,1580.286,1223.0,99.0,105.286,6.846,0.463,,,,,,
Brazil,2020-04-11,20727.0,1089.0,1481.0,1124.0,67.0,97.0,5.089,0.313,,,,,,
Brazil,2020-04-10,19638.0,1546.0,1511.714,1057.0,107.0,99.714,7.225,0.5,,,,,,
Brazil,2020-04-09,18092.0,1922.0,1435.429,950.0,131.0,89.429,8.982,0.612,,,,,,
Brazil,2020-04-08,16170.0,2136.0,1333.429,819.0,133.0,82.714,9.982,0.622,,,,,,
Brazil,2020-04-07,14034.0,1873.0,1188.143,686.0,122.0,69.286,8.753,0.57,,,,,,
Brazil,2020-04-06,12161.0,1031.0,1083.143,564.0,78.0,57.857,4.818,0.364,,,,,,
Brazil,2020-04-05,11130.0,770.0,982.0,486.0,41.0,50.0,3.598,0.192,,,,,,
Brazil,2020-04-04,10360.0,1304.0,922.286,445.0,86.0,47.714,6.094,0.402,,,,,,
Brazil,2020-04-03,9056.0,1012.0,805.571,359.0,35.0,38.143,4.729,0.164,,,,,,
Brazil,2020-04-02,8044.0,1208.0,722.714,324.0,84.0,35.286,5.645,0.393,,,,,,
Brazil,2020-04-01,6836.0,1119.0,611.714,240.0,39.0,25.857,5.229,0.182,,,,,,
Brazil,2020-03-31,5717.0,1138.0,495.714,201.0,42.0,22.143,5.318,0.196,,,,,,
Brazil,2020-03-30,4579.0,323.0,379.286,159.0,23.0,17.857,1.509,0.107,,,,,,
Brazil,2020-03-29,4256.0,352.0,387.143,136.0,25.0,15.857,1.645,0.117,,,,,,
Brazil,2020-03-28,3904.0,487.0,411.857,111.0,19.0,13.714,2.276,0.089,,,,,,
Brazil,2020-03-27,3417.0,432.0,374.857,92.0,15.0,11.571,2.019,0.07,,,,,,
Brazil,2020-03-26,2985.0,431.0,337.714,77.0,18.0,10.143,2.014,0.084,,,,,,
Brazil,2020-03-25,2554.0,307.0,311.714,59.0,13.0,8.0,1.435,0.061,,,,,,
Brazil,2020-03-24,2247.0,323.0,275.143,46.0,12.0,6.429,1.509,0.056,,,,,,
Brazil,2020-03-23,1924.0,378.0,246.286,34.0,9.0,4.857,1.766,0.042,,,,,,
Brazil,2020-03-22,1546.0,525.0,197.714,25.0,10.0,3.571,2.453,0.047,,,,,,
Brazil,2020-03-21,1021.0,228.0,124.286,15.0,4.0,2.143,1.065,0.019,,,,,,
Brazil,2020-03-20,793.0,172.0,91.714,11.0,5.0,1.571,0.804,0.023,,,,,,
Brazil,2020-03-19,621.0,249.0,81.286,6.0,3.0,0.857,1.164,0.014,,,,,,
Brazil,2020-03-18,372.0,51.0,47.714,3.0,2.0,0.429,0.238,0.009,,,,,,
Brazil,2020-03-17,321.0,121.0,41.429,1.0,1.0,0.143,0.565,0.005,,,,,,
Brazil,2020-03-16,200.0,38.0,25.0,,,,0.178,,,,,,,
Brazil,2020-03-15,162.0,11.0,20.286,,,,0.051,,,,,,,
Brazil,2020-03-14,151.0,0.0,19.714,,,,0.0,,,,,,,
Brazil,2020-03-13,151.0,99.0,19.714,,,,0.463,,,,,,,
Brazil,2020-03-12,52.0,14.0,6.857,,,,0.065,,,,,,,
Brazil,2020-03-11,38.0,7.0,4.857,,,,0.033,,,,,,,
Brazil,2020-03-10,31.0,6.0,4.143,,,,0.028,,,,,,,
Brazil,2020-03-09,25.0,5.0,3.286,,,,0.023,,,,,,,
Brazil,2020-03-08,20.0,7.0,2.571,,,,0.033,,,,,,,
Brazil,2020-03-07,13.0,0.0,1.571,,,,0.0,,,,,,,
Brazil,2020-03-06,13.0,9.0,1.714,,,,0.042,,,,,,,
Brazil,2020-03-05,4.0,0.0,0.429,,,,0.0,,,,,,,
Brazil,2020-03-04,4.0,2.0,0.429,,,,0.009,,,,,,,
Brazil,2020-03-03,2.0,0.0,0.286,,,,0.0,,,,,,,
Brazil,2020-03-02,2.0,0.0,0.286,,,,0.0,,,,,,,
Brazil,2020-03-01,2.0,0.0,,,,,0.0,,,,,,,
Brazil,2020-02-29,2.0,1.0,,,,,0.005,,,,,,,
Brazil,2020-02-28,1.0,0.0,,,,,0.0,,,,,,,
Brazil,2020-02-27,1.0,0.0,,,,,0.0,,,,,,,
Brazil,2020-02-26,1.0,1.0,,,,,0.005,,,,,,,
